student_id,date,status
2000,2025-09-22,Present
2000,2025-09-21,Present
2000,2025-09-20,Present
2000,2025-09-19,Present
2000,2025-09-18,Present
2000,2025-09-17,Present
2000,2025-09-16,Present
2000,2025-09-15,Present
2000,2025-09-14,Present
2000,2025-09-13,Present
2000,2025-09-12,Present
2000,2025-09-11,Present
2000,2025-09-10,Present
2000,2025-09-09,Present
2000,2025-09-08,Present
2000,2025-09-07,Present
2000,2025-09-06,Present
2000,2025-09-05,Absent
2000,2025-09-04,Present
2000,2025-09-03,Present
2000,2025-09-02,Absent
2000,2025-09-01,Present
2000,2025-08-31,Present
2000,2025-08-30,Absent
2000,2025-08-29,Present
2000,2025-08-28,Present
2000,2025-08-27,Present
2000,2025-08-26,Present
2000,2025-08-25,Present
2000,2025-08-24,Present
2000,2025-08-23,Present
2000,2025-08-22,Present
2000,2025-08-21,Present
2000,2025-08-20,Present
2000,2025-08-19,Present
2000,2025-08-18,Present
2000,2025-08-17,Present
2000,2025-08-16,Present
2000,2025-08-15,Present
2000,2025-08-14,Present
2000,2025-08-13,Present
2000,2025-08-12,Present
2000,2025-08-11,Present
2000,2025-08-10,Present
2000,2025-08-09,Present
2000,2025-08-08,Present
2000,2025-08-07,Present
2000,2025-08-06,Present
2000,2025-08-05,Present
2000,2025-08-04,Present
2000,2025-08-03,Present
2000,2025-08-02,Present
2000,2025-08-01,Present
2000,2025-07-31,Present
2000,2025-07-30,Present
2000,2025-07-29,Present
2000,2025-07-28,Present
2000,2025-07-27,Present
2000,2025-07-26,Present
2000,2025-07-25,Present
2000,2025-07-24,Present
2000,2025-07-23,Present
2000,2025-07-22,Present
2000,2025-07-21,Present
2000,2025-07-20,Present
2000,2025-07-19,Present
2000,2025-07-18,Present
2000,2025-07-17,Present
2000,2025-07-16,Present
2000,2025-07-15,Present
2000,2025-07-14,Absent
2000,2025-07-13,Present
2000,2025-07-12,Present
2000,2025-07-11,Present
2000,2025-07-10,Present
2000,2025-07-09,Present
2000,2025-07-08,Present
2000,2025-07-07,Present
2000,2025-07-06,Present
2000,2025-07-05,Present
2000,2025-07-04,Present
2000,2025-07-03,Present
2000,2025-07-02,Present
2000,2025-07-01,Absent
2000,2025-06-30,Present
2000,2025-06-29,Present
2000,2025-06-28,Absent
2000,2025-06-27,Present
2000,2025-06-26,Present
2000,2025-06-25,Present
2001,2025-09-22,Present
2001,2025-09-21,Present
2001,2025-09-20,Present
2001,2025-09-19,Present
2001,2025-09-18,Present
2001,2025-09-17,Present
2001,2025-09-16,Present
2001,2025-09-15,Present
2001,2025-09-14,Present
2001,2025-09-13,Present
2001,2025-09-12,Present
2001,2025-09-11,Present
2001,2025-09-10,Present
2001,2025-09-09,Present
2001,2025-09-08,Present
2001,2025-09-07,Present
2001,2025-09-06,Present
2001,2025-09-05,Present
2001,2025-09-04,Present
2001,2025-09-03,Present
2001,2025-09-02,Present
2001,2025-09-01,Present
2001,2025-08-31,Present
2001,2025-08-30,Present
2001,2025-08-29,Present
2001,2025-08-28,Present
2001,2025-08-27,Present
2001,2025-08-26,Present
2001,2025-08-25,Present
2001,2025-08-24,Absent
2001,2025-08-23,Present
2001,2025-08-22,Present
2001,2025-08-21,Present
2001,2025-08-20,Present
2001,2025-08-19,Present
2001,2025-08-18,Present
2001,2025-08-17,Present
2001,2025-08-16,Present
2001,2025-08-15,Present
2001,2025-08-14,Present
2001,2025-08-13,Present
2001,2025-08-12,Present
2001,2025-08-11,Present
2001,2025-08-10,Present
2001,2025-08-09,Absent
2001,2025-08-08,Present
2001,2025-08-07,Present
2001,2025-08-06,Present
2001,2025-08-05,Present
2001,2025-08-04,Present
2001,2025-08-03,Absent
2001,2025-08-02,Present
2001,2025-08-01,Present
2001,2025-07-31,Present
2001,2025-07-30,Present
2001,2025-07-29,Present
2001,2025-07-28,Present
2001,2025-07-27,Present
2001,2025-07-26,Present
2001,2025-07-25,Present
2001,2025-07-24,Present
2001,2025-07-23,Present
2001,2025-07-22,Present
2001,2025-07-21,Present
2001,2025-07-20,Present
2001,2025-07-19,Present
2001,2025-07-18,Present
2001,2025-07-17,Present
2001,2025-07-16,Present
2001,2025-07-15,Present
2001,2025-07-14,Present
2001,2025-07-13,Present
2001,2025-07-12,Present
2001,2025-07-11,Present
2001,2025-07-10,Present
2001,2025-07-09,Present
2001,2025-07-08,Present
2001,2025-07-07,Present
2001,2025-07-06,Present
2001,2025-07-05,Absent
2001,2025-07-04,Present
2001,2025-07-03,Present
2001,2025-07-02,Present
2001,2025-07-01,Present
2001,2025-06-30,Present
2001,2025-06-29,Present
2001,2025-06-28,Present
2001,2025-06-27,Present
2001,2025-06-26,Present
2001,2025-06-25,Present
2002,2025-09-22,Present
2002,2025-09-21,Present
2002,2025-09-20,Present
2002,2025-09-19,Present
2002,2025-09-18,Present
2002,2025-09-17,Present
2002,2025-09-16,Present
2002,2025-09-15,Present
2002,2025-09-14,Present
2002,2025-09-13,Present
2002,2025-09-12,Absent
2002,2025-09-11,Present
2002,2025-09-10,Present
2002,2025-09-09,Present
2002,2025-09-08,Present
2002,2025-09-07,Absent
2002,2025-09-06,Present
2002,2025-09-05,Present
2002,2025-09-04,Absent
2002,2025-09-03,Present
2002,2025-09-02,Present
2002,2025-09-01,Present
2002,2025-08-31,Present
2002,2025-08-30,Present
2002,2025-08-29,Present
2002,2025-08-28,Present
2002,2025-08-27,Present
2002,2025-08-26,Absent
2002,2025-08-25,Late
2002,2025-08-24,Present
2002,2025-08-23,Present
2002,2025-08-22,Present
2002,2025-08-21,Absent
2002,2025-08-20,Late
2002,2025-08-19,Present
2002,2025-08-18,Present
2002,2025-08-17,Present
2002,2025-08-16,Present
2002,2025-08-15,Present
2002,2025-08-14,Absent
2002,2025-08-13,Present
2002,2025-08-12,Present
2002,2025-08-11,Absent
2002,2025-08-10,Present
2002,2025-08-09,Present
2002,2025-08-08,Present
2002,2025-08-07,Absent
2002,2025-08-06,Present
2002,2025-08-05,Present
2002,2025-08-04,Present
2002,2025-08-03,Present
2002,2025-08-02,Present
2002,2025-08-01,Present
2002,2025-07-31,Present
2002,2025-07-30,Late
2002,2025-07-29,Absent
2002,2025-07-28,Present
2002,2025-07-27,Present
2002,2025-07-26,Absent
2002,2025-07-25,Present
2002,2025-07-24,Present
2002,2025-07-23,Present
2002,2025-07-22,Present
2002,2025-07-21,Present
2002,2025-07-20,Present
2002,2025-07-19,Present
2002,2025-07-18,Present
2002,2025-07-17,Present
2002,2025-07-16,Present
